Golfer,Odds,DK,Site Name,Site id,DK % +/-,FedEx,Events,Drive Acc,100-125,175-200,Drive Acc(2019),100-125(2019),175-200(2019),2019,2020,2019 top 30,2020 top 30,ranking,Proj,MaxPer,Owner
Abraham Ancer,99,6700,Abraham Ancer,13609650,-4%,177,3,106,48,218,10,53,70,3,1,1,0,6,75,10,
Wyndham Clark,100,6600,Wyndham Clark,13609655,0%,64,4,151,193,96,170,90,171,0,0,0,0,0,,,
Daniel Berger,106,6500,Daniel Berger,13609658,2%,74,3,69,134,199,59,121,57,2,1,0,0,3,,,
Si Woo Kim,106,6500,Si Woo Kim,13609657,4%,96,4,139,113,54,86,107,77,0,1,0,0,1,,,
JT Poston,113,6600,J.T. Poston,13609654,-6%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,,,
Ryo Ishikawa,119,6400,Ryo Ishikawa,13609661,4%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,,,
Scott Piercy,123,6600,Scott Piercy,13609653,-10%,97,4,189,33,138,35,114,26,2,1,1,0,5,75,10,
Joel Dahmen,124,6400,Joel Dahmen,13609662,-2%,51,4,33,126,15,24,107,47,2,2,1,1,8,100,25,
Keegan Bradley,124,6500,Keegan Bradley,13609656,-6%,113,3,69,220,115,50,125,54,2,1,0,0,3,,,
Jazz Janewattananond,128,6400,Jazz Janewattananond,13609659,-4%,#N/A,#N/A,3,#N/A,#N/A,#N/A,#N/A,#N/A,0,1,0,1,3,,,
Sung Kang,129,6300,Sung Kang,13609666,2%,78,4,115,129,100,118,99,39,1,0,0,0,1,,,
Nate Lashley,130,6400,Nate Lashley,13609660,-7%,29,4,116,75,18,64,13,89,2,2,1,1,8,100,25,
Chan Kim,143,6300,Chan Kim,13609665,-2%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,,,
Kevin Tway,146,6300,Kevin Tway,13609663,-3%,115,3,195,27,45,176,129,103,0,2,0,1,4,,,
Shaun Norris,157,6200,Shaun Norris,13609667,2%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,,,
Keith Mitchell,158,6300,Keith Mitchell,13609664,-7%,166,2,11,186,121,125,184,127,0,1,0,1,3,,,
Adam Schenk,158,6200,Adam Schenk,13609670,0%,75,5,134,70,127,115,39,65,2,1,0,0,3,,,
C.T. Pan,161,6200,C.T. Pan,13609669,-3%,173,3,50,75,94,67,146,110,1,2,0,0,3,,,
Vaughn Taylor,175,6100,Vaughn Taylor,13609673,1%,159,3,42,84,18,20,4,77,2,2,2,1,10,300,15,
Troy Merritt,189,6100,Troy Merritt,13609674,0%,160,3,132,157,93,49,146,106,1,0,0,0,1,,,
